TIME,SP1_ABS,SP2_ABS,SP1_REL,SP2_REL,H1_MUL_NOISE,H2_MUL_NOISE,F_MUL_NOISE,H1_ADD_NOISE,H2_ADD_NOISE,F_ADD_NOISE,H1_NEG_SAT,H2_NEG_SAT,F_NEG_SAT,H1_POS_SAT,H2_POS_SAT,F_POS_SAT,H1_RATE_SAT,H2_RATE_SAT,F_RATE_SAT
0,0,0,0,0,,,,,,0,,,,,,,,,
1000,0,0,0,0.1,,,,,,0,,,,,,,,,
2000,0,0,0,0.2,,,,,,0,,,,,,,,,
3000,0,0,0,0.3,,,,,,0,,,,,,,,,
4000,0,0,0,0.4,,,,,,0,,,,,,,,,
5000,0,0,0,0.5,,,,,,0,,,,,,,,,
6000,0,0,0,0.6,,,,,,0,,,,,,,,,
7000,0,0,0,0.7,,,,,,0,,,,,,,,,
8000,0,0,0,0.8,,,,,,0,,,,,,,,,
9000,0,0,0,0.9,,,,,,0,,,,,,,,,
10000,0,0,0,1,,,,,,0,,,,,,,,,
11000,0,0,0,1.1,,,,,,0,,,,,,,,,
12000,0,0,0,1.2,,,,,,0,,,,,,,,,
13000,0,0,0,1.3,,,,,,0,,,,,,,,,
14000,0,0,0,1.4,,,,,,0,,,,,,,,,
15000,0,0,0,1.5,,,,,,0,,,,,,,,,
16000,0,0,0,1.6,,,,,,0,,,,,,,,,
17000,0,0,0,1.7,,,,,,0,,,,,,,,,
18000,0,0,0,1.8,,,,,,0,,,,,,,,,
19000,0,0,0,1.9,,,,,,0,,,,,,,,,
20000,0,0,0,2,,,,,,0,,,,,,,,,
21000,0,0,0,2.1,,,,,,0,,,,,,,,,
22000,0,0,0,2.2,,,,,,0,,,,,,,,,
23000,0,0,0,2.3,,,,,,0,,,,,,,,,
24000,0,0,0,2.4,,,,,,0,,,,,,,,,
25000,0,0,0,2.5,,,,,,0,,,,,,,,,
26000,0,0,0,2.6,,,,,,0,,,,,,,,,
27000,0,0,0,2.7,,,,,,0,,,,,,,,,
28000,0,0,0,2.8,,,,,,0,,,,,,,,,
29000,0,0,0,2.9,,,,,,0,,,,,,,,,
30000,0,0,0,3,,,,,,0,,,,,,,,,
31000,0,0,0,3.1,,,,,,0,,,,,,,,,
32000,0,0,0,3.2,,,,,,0,,,,,,,,,
33000,0,0,0,3.3,,,,,,0,,,,,,,,,
34000,0,0,0,3.4,,,,,,0,,,,,,,,,
35000,0,0,0,3.5,,,,,,0,,,,,,,,,
36000,0,0,0,3.6,,,,,,0,,,,,,,,,
37000,0,0,0,3.7,,,,,,0,,,,,,,,,
38000,0,0,0,3.8,,,,,,0,,,,,,,,,
39000,0,0,0,3.9,,,,,,0,,,,,,,,,
40000,0,0,0,4,,,,,,0,,,,,,,,,
41000,0,0,0,4.1,,,,,,0,,,,,,,,,
42000,0,0,0,4.2,,,,,,0,,,,,,,,,
43000,0,0,0,4.3,,,,,,0,,,,,,,,,
44000,0,0,0,4.4,,,,,,0,,,,,,,,,
45000,0,0,0,4.5,,,,,,0,,,,,,,,,
46000,0,0,0,4.6,,,,,,0,,,,,,,,,
47000,0,0,0,4.7,,,,,,0,,,,,,,,,
48000,0,0,0,4.8,,,,,,0,,,,,,,,,
49000,0,0,0,4.9,,,,,,0,,,,,,,,,
50000,0,0,0,5,,,,,,0,,,,,,,,,
51000,0,0,0,5.1,,,,,,0,,,,,,,,,
52000,0,0,0,5.2,,,,,,0,,,,,,,,,
53000,0,0,0,5.3,,,,,,0,,,,,,,,,
54000,0,0,0,5.4,,,,,,0,,,,,,,,,
55000,0,0,0,5.5,,,,,,0,,,,,,,,,
56000,0,0,0,5.6,,,,,,0,,,,,,,,,
57000,0,0,0,5.7,,,,,,0,,,,,,,,,
58000,0,0,0,5.8,,,,,,0,,,,,,,,,
59000,0,0,0,5.9,,,,,,0,,,,,,,,,
60000,0,0,0,6,,,,,,0,,,,,,,,,
61000,0,0,0,6.1,,,,,,0,,,,,,,,,
62000,0,0,0,6.2,,,,,,0,,,,,,,,,
63000,0,0,0,6.3,,,,,,0,,,,,,,,,
64000,0,0,0,6.4,,,,,,0,,,,,,,,,
65000,0,0,0,6.5,,,,,,0,,,,,,,,,
66000,0,0,0,6.6,,,,,,0,,,,,,,,,
67000,0,0,0,6.7,,,,,,0,,,,,,,,,
68000,0,0,0,6.8,,,,,,0,,,,,,,,,
69000,0,0,0,6.9,,,,,,0,,,,,,,,,
70000,0,0,0,7,,,,,,0,,,,,,,,,
71000,0,0,0,7.1,,,,,,0,,,,,,,,,
